YNL199C_YPR048W,physical
YPL070W_YPR193C,physical
YBR254C_YJR116W,physical
YBR061C_YGR219W,physical
YER036C_YJR091C,physical
YLR028C_YLR373C,physical
YDL226C_YGR172C,physical
YFL018C_YGL063W,physical
YGR173W_YMR319C,physical
YFL038C_YGL070C,physical
YBL021C_YLR200W,physical
YBR055C_YPR082C,physical
YGR229C_YOR030W,physical
YHR184W_YML064C,physical
YER149C_YLR330W,physical
YJL115W_YLR399C,physical
YER021W_YPR108W,physical
YKL044W_YLR288C,physical
YCR072C_YGL181W,physical
YLR085C_YLR318W,physical
YLR447C_YLR465C,physical
YML041C_YPL181W,physical
YER081W_YIL044C,physical
YBR164C_YML071C,physical
YHL015W_YLL031C,physical
YDR126W_YNR049C,physical
YCL016C_YER007W,physical
YHR178W_YMR263W,physical
YDR289C_YLR103C,physical
YDR139C_YLR306W,physical
YER149C_YNL298W,physical
YMR190C_YOL006C,physical
YBR094W_YJL115W,physical
YDR349C_YOR007C,physical
YLR051C_YLR119W,physical
YDR357C_YLR423C,physical
YER155C_YNL298W,physical
YBR020W_YER081W,physical
YBR050C_YER133W,physical
YIL092W_YNR028W,physical
YER007W_YGL086W,physical
YHR075C_YLR368W,physical
YER178W_YNL192W,physical
YLR200W_YOR350C,physical
YDR320C_YLR039C,physical
YCL055W_YGL192W,physical
YJR093C_YNL092W,physical
YLR377C_YML121W,physical
YDR389W_YJR091C,physical
YCL037C_YLR039C,physical
YBL042C_YLR039C,physical
YER179W_YML064C,physical
YDR335W_YKL068W,physical
YBL047C_YNL233W,physical
YML094W_YMR294W,physical
YAL014C_YBL061C,physical
YDL100C_YPL252C,physical
YAR002W_YCL016C,physical
YDR245W_YDR420W,physical
YLR381W_YPR141C,physical
YDL121C_YMR305C,physical
YEL003W_YMR078C,physical
YDR378C_YJL139C,physical
YNL049C_YPR181C,physical
YGL189C_YLR435W,physical
YER081W_YJR108W,physical
YGR241C_YNL092W,physical
YDR098C_YGL220W,physical
YDL094C_YDL196W,physical
YLR085C_YLR418C,physical
YKL088W_YLR295C,physical
YGL045W_YJL168C,physical
YJL184W_YOR117W,physical
YDR183W_YGR078C,physical
YDR318W_YLR200W,physical
YJL218W_YML064C,physical
YLR382C_YNL165W,physical
YDR443C_YPL031C,physical
YDL153C_YOR314W,physical
YHR128W_YPR185W,physical
YMR048W_YMR078C,physical
YBR209W_YPR086W,physical
YJR091C_YKR087C,physical
YHR062C_YOR176W,physical
YCR009C_YKL204W,physical
YBL037W_YNL118C,physical
YBR286W_YDR311W,physical
YFL029C_YPR054W,physical
